Exp,Algae,Type,X,CR_C,CR_P,AE_C,AE_P,Type2,CR_ratio,AE_ratio,PC,sce,cyc,syn
Cyc,Cyc,aMon,aL,1.436,1.467,0.734,0.801,aMon,1.022,1.091,7.9,0,1,0
Cyc,Cyc,aMon,aL,1.042,0.947,0.611,0.576,aMon,0.909,0.942,7.9,0,1,0
Cyc,Cyc,aMon,aL,1.311,1.209,0.495,0.549,aMon,0.922,1.108,7.9,0,1,0
Cyc,Cyc,aMon,aL,1.061,1.081,0.596,0.588,aMon,1.019,0.987,7.9,0,1,0
Cyc,Cyc,aMon,aL,1.078,1.025,0.883,0.944,aMon,0.951,1.07,7.9,0,1,0
Sce,aSce,aMon,aL,1.331,1.443,0.706,0.706,aMon,1.084,1,5.73,1,0,0
Sce,aSce,aMon,aL,1.561,1.498,0.749,0.793,aMon,0.96,1.059,5.73,1,0,0
Sce,aSce,aMon,aL,1.671,1.784,0.494,0.447,aMon,1.067,0.904,5.73,1,0,0
Sce,aSce,aMon,aL,1.388,1.288,0.855,0.989,aMon,0.928,1.156,5.73,1,0,0
Sce,aSce,aMon,aL,1.635,1.752,0.644,0.574,aMon,1.072,0.892,5.73,1,0,0
Syn,Syn,aMon,aL,0.96,0.888,0.44,0.649,aMon,0.925,1.475,8.13,0,0,1
Syn,Syn,aMon,aL,0.783,0.628,0.387,0.343,aMon,0.802,0.886,8.13,0,0,1
Syn,Syn,aMon,aL,1.045,0.95,0.363,0.372,aMon,0.909,1.026,8.13,0,0,1
Syn,Syn,aMon,aL,0.8,0.916,0.53,0.582,aMon,1.145,1.098,8.13,0,0,1
Syn,Syn,aMon,aL,1.158,0.957,0.494,0.491,aMon,0.827,0.993,8.13,0,0,1
Cyc+Sce,Cyc,Dual,aL,1.804,1.657,0.731,0.835,Mul,0.918,1.142,6.81,1,1,0
Cyc+Sce,Cyc,Dual,aL,1.958,1.713,0.523,0.597,Mul,0.875,1.141,6.81,1,1,0
Cyc+Sce,Cyc,Dual,aL,1.883,1.808,0.48,0.597,Mul,0.96,1.244,6.81,1,1,0
Cyc+Sce,Cyc,Dual,aL,1.712,1.693,0.515,0.543,Mul,0.989,1.054,6.81,1,1,0
Cyc+Sce,Cyc,Dual,aL,1.673,1.687,0.413,0.421,Mul,1.008,1.02,6.81,1,1,0
Cyc+Sce,aSce,Dual,aL,1.319,1.351,0.68,0.584,Mul,1.024,0.858,6.81,1,1,0
Cyc+Sce,aSce,Dual,aL,1.369,1.332,0.752,0.663,Mul,0.973,0.882,6.81,1,1,0
Cyc+Sce,aSce,Dual,aL,1.531,1.5,0.595,0.538,Mul,0.98,0.904,6.81,1,1,0
Cyc+Sce,aSce,Dual,aL,1.801,1.892,0.69,0.65,Mul,1.05,0.942,6.81,1,1,0
Cyc+Sce,aSce,Dual,aL,1.515,1.397,0.547,0.479,Mul,0.922,0.876,8.02,1,1,0
Cyc+Syn,Cyc,Dual,aL,1.341,1.322,0.678,0.635,Mul,0.986,0.936,8.02,0,1,1
Cyc+Syn,Cyc,Dual,aL,1.433,1.417,0.675,0.662,Mul,0.989,0.981,8.02,0,1,1
Cyc+Syn,Cyc,Dual,aL,1.173,1.048,0.762,0.744,Mul,0.894,0.976,8.02,0,1,1
Cyc+Syn,Cyc,Dual,aL,1.414,1.479,0.75,0.763,Mul,1.046,1.017,8.02,0,1,1
Cyc+Syn,Cyc,Dual,aL,1.48,1.468,0.52,0.487,Mul,0.992,0.937,8.02,0,1,1
Cyc+Syn,Syn,Dual,aL,1.084,1.085,0.916,0.957,Mul,1.001,1.045,8.02,0,1,1
Cyc+Syn,Syn,Dual,aL,0.892,0.806,0.654,0.589,Mul,0.903,0.901,8.02,0,1,1
Cyc+Syn,Syn,Dual,aL,1.109,1.036,0.767,0.766,Mul,0.934,0.999,8.02,0,1,1
Cyc+Syn,Syn,Dual,aL,0.917,0.798,0.779,0.78,Mul,0.87,1.002,8.02,0,1,1
Cyc+Syn,Syn,Dual,aL,0.81,0.764,0.517,0.516,Mul,0.944,0.997,8.02,0,1,1
Sce+Syn,aSce,Dual,aL,1.577,1.553,0.614,0.558,Mul,0.985,0.909,6.93,1,0,1
Sce+Syn,aSce,Dual,aL,1.364,1.271,0.578,0.554,Mul,0.932,0.959,6.93,1,0,1
Sce+Syn,aSce,Dual,aL,1.546,1.586,0.422,0.399,Mul,1.026,0.945,6.93,1,0,1
Sce+Syn,aSce,Dual,aL,1.597,1.525,0.695,0.784,Mul,0.955,1.128,6.93,1,0,1
Sce+Syn,aSce,Dual,aL,1.3,1.237,0.711,0.724,Mul,0.951,1.019,6.93,1,0,1
Sce+Syn,Syn,Dual,aL,1.247,1.17,0.599,0.539,Mul,0.938,0.9,6.93,1,0,1
Sce+Syn,Syn,Dual,aL,0.855,0.876,0.402,0.378,Mul,1.024,0.94,6.93,1,0,1
Sce+Syn,Syn,Dual,aL,1.08,1.117,0.43,0.327,Mul,1.034,0.76,6.93,1,0,1
Sce+Syn,Syn,Dual,aL,0.848,0.788,0.508,0.501,Mul,0.929,0.986,6.93,1,0,1
Sce+Syn,Syn,Dual,aL,1.131,1.206,0.598,0.557,Mul,1.066,0.931,6.93,1,0,1
Cyc+Sce+Syn,Cyc,Tri,aL,0.821,0.912,0.841,0.697,Mul,1.111,0.828,7.25,1,1,1
Cyc+Sce+Syn,Cyc,Tri,aL,1.186,1.508,0.6,0.508,Mul,1.271,0.847,7.25,1,1,1
Cyc+Sce+Syn,Cyc,Tri,aL,1.249,1.289,0.661,0.472,Mul,1.032,0.714,7.25,1,1,1
Cyc+Sce+Syn,Cyc,Tri,aL,1.467,1.786,0.625,0.536,Mul,1.218,0.858,7.25,1,1,1
Cyc+Sce+Syn,Cyc,Tri,aL,0.931,1.264,0.577,0.475,Mul,1.358,0.823,7.25,1,1,1
Cyc+Sce+Syn,aSce,Tri,aL,1.332,1.326,0.767,0.82,Mul,0.996,1.069,7.25,1,1,1
Cyc+Sce+Syn,aSce,Tri,aL,0.852,0.961,0.643,0.546,Mul,1.128,0.848,7.25,1,1,1
Cyc+Sce+Syn,aSce,Tri,aL,0.808,0.823,0.68,0.589,Mul,1.019,0.865,7.25,1,1,1
Cyc+Sce+Syn,aSce,Tri,aL,1.043,1.14,1.04,0.989,Mul,1.093,0.951,7.25,1,1,1
Cyc+Sce+Syn,aSce,Tri,aL,1.095,1.067,0.994,0.975,Mul,0.975,0.981,7.25,1,1,1
Cyc+Sce+Syn,Syn,Tri,aL,1.002,1.123,0.879,0.879,Mul,1.121,1.001,7.25,1,1,1
Cyc+Sce+Syn,Syn,Tri,aL,0.931,0.999,0.828,0.962,Mul,1.073,1.162,7.25,1,1,1
Cyc+Sce+Syn,Syn,Tri,aL,0.85,0.847,0.719,0.718,Mul,0.996,0.999,7.25,1,1,1
Cyc+Sce+Syn,Syn,Tri,aL,1.022,0.809,0.507,0.497,Mul,0.792,0.98,7.25,1,1,1
Cyc+Sce+Syn,Syn,Tri,aL,1.365,1.451,0.586,0.608,Mul,1.063,1.037,7.25,1,1,1
Cyc,Cyc,aMon,H,2.369,2.762,0.447,0.407,aMon,1.166,0.911,5.7,0,1,0
Cyc,Cyc,aMon,H,2.126,2.449,0.527,0.535,aMon,1.152,1.014,5.7,0,1,0
Cyc,Cyc,aMon,H,2.449,2.519,0.26,0.269,aMon,1.029,1.035,5.7,0,1,0
Cyc,Cyc,aMon,H,2.16,2.547,0.587,0.514,aMon,1.179,0.876,5.7,0,1,0
Cyc,Cyc,aMon,H,2.345,2.548,0.426,0.415,aMon,1.087,0.973,5.7,0,1,0
Sce,aSce,aMon,H,1.699,1.942,0.785,0.871,aMon,1.143,1.109,1.58,1,0,0
Sce,aSce,aMon,H,1.918,1.964,0.583,0.838,aMon,1.024,1.438,1.58,1,0,0
Sce,aSce,aMon,H,1.84,1.721,1.008,0.943,aMon,0.935,0.936,1.58,1,0,0
Sce,aSce,aMon,H,1.87,1.764,0.582,0.751,aMon,0.943,1.29,1.58,1,0,0
Sce,aSce,aMon,H,1.36,1.296,0.76,0.854,aMon,0.953,1.124,1.58,1,0,0
Syn,Syn,aMon,H,1.059,1.012,0.514,0.399,aMon,0.955,0.775,7.21,0,0,1
Syn,Syn,aMon,H,1.145,0.915,0.62,0.473,aMon,0.799,0.762,7.21,0,0,1
Syn,Syn,aMon,H,1.234,1.047,0.597,0.58,aMon,0.848,0.972,7.21,0,0,1
Syn,Syn,aMon,H,1.109,1.217,0.257,0.242,aMon,1.097,0.941,7.21,0,0,1
Syn,Syn,aMon,H,0.998,0.927,0.713,0.668,Mul,0.929,0.936,7.21,0,0,1
Cyc+Sce,Cyc,Dual,H,2.592,2.852,0.647,0.759,Mul,1.1,1.173,3.64,1,1,0
Cyc+Sce,Cyc,Dual,H,2.469,3.006,0.59,0.647,Mul,1.217,1.097,3.64,1,1,0
Cyc+Sce,Cyc,Dual,H,2.087,2.496,0.61,0.761,Mul,1.196,1.248,3.64,1,1,0
Cyc+Sce,Cyc,Dual,H,2.187,1.823,0.625,0.649,Mul,0.833,1.039,3.64,1,1,0
Cyc+Sce,Cyc,Dual,H,2.472,2.987,0.609,0.596,Mul,1.208,0.978,3.64,1,1,0
Cyc+Sce,aSce,Dual,H,1.694,1.799,0.798,1.137,Mul,1.062,1.425,3.64,1,1,0
Cyc+Sce,aSce,Dual,H,1.603,1.915,0.655,0.819,Mul,1.194,1.25,3.64,1,1,0
Cyc+Sce,aSce,Dual,H,2.121,2.439,0.74,0.939,Mul,1.15,1.269,3.64,1,1,0
Cyc+Sce,aSce,Dual,H,2.589,2.737,0.752,1.048,Mul,1.057,1.393,3.64,1,1,0
Cyc+Sce,aSce,Dual,H,2.022,1.531,0.728,1,Mul,0.757,1.373,3.64,1,1,0
Cyc+Syn,Cyc,Dual,H,2.09,1.987,0.64,0.773,Mul,0.951,1.207,6.46,0,1,1
Cyc+Syn,Cyc,Dual,H,2.649,2.642,0.612,0.7,Mul,0.997,1.144,6.46,0,1,1
Cyc+Syn,Cyc,Dual,H,2.152,2.461,0.718,0.759,Mul,1.144,1.057,6.46,0,1,1
Cyc+Syn,Cyc,Dual,H,2.617,2.642,0.492,0.526,Mul,1.01,1.068,6.46,0,1,1
Cyc+Syn,Cyc,Dual,H,2.257,2.36,0.532,0.61,Mul,1.045,1.146,6.46,0,1,1
Cyc+Syn,Syn,Dual,H,1.55,1.522,0.632,0.707,Mul,0.982,1.119,6.46,0,1,1
Cyc+Syn,Syn,Dual,H,1.737,1.666,0.724,0.771,Mul,0.959,1.066,6.46,0,1,1
Cyc+Syn,Syn,Dual,H,1.801,1.712,0.583,0.528,Mul,0.951,0.905,6.46,0,1,1
Cyc+Syn,Syn,Dual,H,1.348,1.108,0.636,0.718,Mul,0.822,1.129,6.46,0,1,1
Cyc+Syn,Syn,Dual,H,1.934,1.825,0.788,0.723,Mul,0.944,0.918,6.46,0,1,1
Sce+Syn,aSce,Dual,H,1.925,2.027,0.514,0.656,Mul,1.053,1.276,4.39,1,0,1
Sce+Syn,aSce,Dual,H,2.548,2.7,0.508,0.692,Mul,1.06,1.363,4.39,1,0,1
Sce+Syn,aSce,Dual,H,2.532,2.661,0.534,0.654,Mul,1.051,1.225,4.39,1,0,1
Sce+Syn,aSce,Dual,H,1.986,2.128,0.567,0.632,Mul,1.072,1.115,4.39,1,0,1
Sce+Syn,aSce,Dual,H,2.168,2.344,0.476,0.744,Mul,1.081,1.563,4.39,1,0,1
Sce+Syn,Syn,Dual,H,1.996,1.873,0.583,0.72,Mul,0.938,1.235,4.39,1,0,1
Sce+Syn,Syn,Dual,H,1.618,1.78,0.554,0.5,Mul,1.1,0.903,4.39,1,0,1
Sce+Syn,Syn,Dual,H,1.502,1.583,0.537,0.578,Mul,1.054,1.077,4.39,1,0,1
Sce+Syn,Syn,Dual,H,1.61,1.628,0.56,0.598,Mul,1.011,1.068,4.39,1,0,1
Sce+Syn,Syn,Dual,H,1.422,1.412,0.48,0.449,Mul,0.993,0.935,4.39,1,0,1
Cyc+Sce+Syn,Cyc,Tri,H,2.173,2.154,0.782,0.872,Mul,0.991,1.115,4.83,1,1,1
Cyc+Sce+Syn,Cyc,Tri,H,2.635,2.501,0.588,0.589,Mul,0.949,1.002,4.83,1,1,1
Cyc+Sce+Syn,Cyc,Tri,H,2.143,2.05,0.696,0.714,Mul,0.957,1.026,4.83,1,1,1
Cyc+Sce+Syn,Cyc,Tri,H,2.673,2.292,0.768,0.857,Mul,0.857,1.116,4.83,1,1,1
Cyc+Sce+Syn,Cyc,Tri,H,2.288,2.706,0.826,0.818,Mul,1.183,0.991,4.83,1,1,1
Cyc+Sce+Syn,aSce,Tri,H,2.761,2.888,0.53,0.683,Mul,1.046,1.288,4.83,1,1,1
Cyc+Sce+Syn,aSce,Tri,H,1.835,1.772,0.647,0.903,Mul,0.966,1.395,4.83,1,1,1
Cyc+Sce+Syn,aSce,Tri,H,2.128,2.358,0.445,0.626,Mul,1.108,1.407,4.83,1,1,1
Cyc+Sce+Syn,aSce,Tri,H,2.152,2.297,0.808,0.644,Mul,1.068,0.797,4.83,1,1,1
Cyc+Sce+Syn,aSce,Tri,H,1.344,1.608,0.518,0.669,Mul,1.197,1.291,4.83,1,1,1
Cyc+Sce+Syn,Syn,Tri,H,1.776,1.957,0.936,0.948,Mul,1.102,1.013,4.83,1,1,1
Cyc+Sce+Syn,Syn,Tri,H,1.632,1.437,0.824,1.247,Mul,0.881,1.513,4.83,1,1,1
Cyc+Sce+Syn,Syn,Tri,H,1.458,1.408,0.73,0.792,Mul,0.966,1.085,4.83,1,1,1
Cyc+Sce+Syn,Syn,Tri,H,1.485,1.336,0.891,1.025,Mul,0.9,1.151,4.83,1,1,1
Cyc+Sce+Syn,Syn,Tri,H,1.505,1.576,0.672,0.817,Mul,1.047,1.215,4.83,1,1,1
